Date, Open, High, Low, Close, Volume
12/29/23, 8.50, 8.50, 8.40, 8.40, 23800
12/28/23, 8.10, 8.56, 8.10, 8.42, 34700
12/27/23, 8.56, 8.56, 8.20, 8.50, 52600
12/22/23, 8.10, 8.56, 8.10, 8.54, 25900
12/21/23, 8.10, 8.58, 8.10, 8.56, 23900
12/20/23, 8.60, 8.60, 8.06, 8.56, 24100
12/19/23, 8.50, 8.50, 8.06, 8.46, 33100
12/18/23, 8.20, 8.40, 8.00, 8.12, 103800
12/15/23, 8.48, 8.50, 8.48, 8.50, 26000
12/14/23, 8.40, 8.48, 8.00, 8.08, 273200
12/13/23, 8.48, 8.50, 8.48, 8.48, 24900
12/11/23, 8.10, 8.56, 8.10, 8.40, 16500
12/08/23, 8.40, 9.00, 8.06, 8.66, 44500
12/07/23, 8.50, 8.88, 8.00, 8.40, 361200
12/06/23, 8.60, 8.60, 8.40, 8.50, 25800
12/05/23, 8.48, 8.50, 8.34, 8.46, 38600
12/04/23, 8.90, 8.90, 8.30, 8.30, 792200
12/01/23, 8.50, 8.80, 8.40, 8.50, 29900
11/30/23, 8.50, 8.50, 8.50, 8.50, 22800
11/29/23, 8.50, 8.70, 8.44, 8.48, 36200
11/28/23, 8.90, 8.90, 8.40, 8.44, 346800
11/27/23, 8.46, 8.50, 8.40, 8.44, 74400
11/24/23, 8.46, 8.60, 8.46, 8.52, 48900
11/23/23, 8.50, 9.00, 8.46, 8.50, 478600
11/22/23, 8.84, 8.84, 8.50, 8.58, 320800
11/21/23, 8.52, 8.90, 8.52, 8.88, 22500
11/20/23, 8.88, 8.90, 8.52, 8.90, 28300
11/17/23, 8.90, 8.90, 8.60, 8.88, 39400
11/16/23, 8.90, 8.90, 8.60, 8.88, 25700
11/15/23, 8.90, 9.00, 8.52, 8.96, 25300
11/14/23, 8.50, 9.00, 8.50, 8.78, 23600
11/10/23, 8.90, 9.00, 8.50, 8.90, 24500
11/09/23, 9.00, 9.00, 8.50, 8.90, 30800
11/08/23, 8.48, 9.00, 8.46, 8.82, 41100
11/07/23, 8.48, 8.88, 8.48, 8.66, 59800
11/06/23, 8.50, 9.00, 8.42, 8.88, 28400
11/03/23, 8.50, 9.00, 8.40, 8.50, 44100
11/02/23, 8.50, 8.50, 8.40, 8.40, 74200
