Date, Open, High, Low, Close, Volume
12/29/23, 185.00, 185.00, 185.00, 185.00, 200
12/27/23, 182.00, 182.00, 182.00, 182.00, 500
12/21/23, 182.00, 182.00, 182.00, 182.00, 100
12/19/23, 185.00, 185.00, 185.00, 185.00, 100
12/15/23, 184.00, 184.00, 184.00, 184.00, 100
12/13/23, 185.00, 185.00, 185.00, 185.00, 400
12/08/23, 185.00, 185.00, 185.00, 185.00, 1000
12/07/23, 182.00, 182.50, 182.00, 182.50, 5300
12/06/23, 182.00, 182.00, 182.00, 182.00, 3800
12/04/23, 182.00, 182.00, 182.00, 182.00, 300
12/01/23, 182.00, 182.00, 182.00, 182.00, 200
11/28/23, 183.00, 183.00, 183.00, 183.00, 5000
11/27/23, 183.00, 183.00, 183.00, 183.00, 100
11/24/23, 183.00, 183.00, 179.00, 180.00, 1400
11/23/23, 184.00, 184.00, 182.00, 183.75, 700
11/22/23, 182.00, 182.00, 182.00, 182.00, 500
11/21/23, 181.00, 182.00, 181.00, 181.50, 500
11/20/23, 184.00, 191.75, 184.00, 186.00, 400
11/17/23, 182.00, 185.00, 182.00, 183.75, 500
11/16/23, 182.00, 182.00, 182.00, 182.00, 500
11/10/23, 182.00, 182.00, 182.00, 182.00, 100
11/09/23, 181.00, 181.00, 181.00, 181.00, 100
11/07/23, 182.00, 182.00, 182.00, 182.00, 100
11/06/23, 182.00, 182.00, 182.00, 182.00, 1400
11/03/23, 182.00, 182.00, 182.00, 182.00, 300
11/02/23, 185.50, 185.50, 185.50, 185.50, 200
10/31/23, 183.00, 184.00, 183.00, 183.00, 13000
10/30/23, 185.00, 185.00, 184.00, 184.75, 7600
10/27/23, 185.00, 185.00, 185.00, 185.00, 400
10/25/23, 185.00, 185.00, 185.00, 185.00, 53400
10/24/23, 186.00, 186.00, 184.00, 185.25, 500
10/23/23, 186.00, 186.00, 186.00, 186.00, 700
10/19/23, 186.00, 186.00, 186.00, 186.00, 2000
10/18/23, 184.00, 185.00, 184.00, 185.00, 1100
10/17/23, 188.00, 188.00, 184.00, 185.00, 400
10/16/23, 188.00, 188.00, 188.00, 188.00, 100
10/13/23, 193.50, 193.50, 193.00, 193.50, 2000
10/12/23, 185.00, 185.00, 185.00, 185.00, 400
10/11/23, 186.00, 186.00, 185.00, 185.50, 2100
10/09/23, 186.00, 186.00, 186.00, 186.00, 500
10/06/23, 188.00, 188.00, 188.00, 188.00, 100
10/04/23, 188.25, 188.25, 188.25, 188.25, 100
10/03/23, 188.00, 193.75, 188.00, 188.25, 2100
10/02/23, 186.00, 190.00, 186.00, 187.25, 700
09/28/23, 186.00, 186.00, 185.00, 185.75, 17500
09/27/23, 186.00, 186.00, 186.00, 186.00, 9000
09/26/23, 185.00, 190.00, 185.00, 186.00, 108800
09/25/23, 190.00, 190.00, 190.00, 190.00, 84800
09/20/23, 180.25, 181.00, 180.25, 180.75, 200
09/15/23, 193.00, 208.00, 193.00, 199.50, 2500
