Date, Open, High, Low, Close, Volume
12/27/23, 3.27, 3.27, 3.27, 3.27, 800
12/22/23, 3.27, 3.27, 3.27, 3.27, 100
12/21/23, 3.27, 3.27, 3.27, 3.27, 100
12/20/23, 3.35, 3.35, 3.35, 3.35, 500
12/19/23, 3.03, 3.30, 3.03, 3.27, 1000
12/18/23, 2.80, 3.08, 2.80, 3.03, 600
12/07/23, 2.80, 2.80, 2.80, 2.80, 1200
12/06/23, 3.10, 3.10, 3.10, 3.10, 1200
12/05/23, 3.10, 3.10, 3.10, 3.10, 1000
11/30/23, 3.10, 3.10, 3.10, 3.10, 2000
11/29/23, 3.00, 3.00, 3.00, 3.00, 400
11/28/23, 3.00, 3.00, 3.00, 3.00, 100
11/27/23, 2.70, 2.90, 2.70, 2.80, 200
11/23/23, 2.65, 2.65, 2.65, 2.65, 3400
11/22/23, 2.65, 2.65, 2.65, 2.65, 30000
11/21/23, 2.70, 2.70, 2.70, 2.70, 100
11/20/23, 2.90, 2.90, 2.90, 2.90, 900
11/17/23, 2.90, 3.19, 2.90, 3.05, 200
11/15/23, 3.19, 3.19, 3.19, 3.19, 300
11/14/23, 3.19, 3.19, 3.19, 3.19, 300
11/10/23, 3.15, 3.15, 3.15, 3.15, 200
11/09/23, 3.15, 3.15, 3.15, 3.15, 500
11/08/23, 3.10, 3.15, 3.10, 3.15, 1100
11/07/23, 3.15, 3.15, 3.15, 3.15, 100
11/06/23, 2.90, 2.95, 2.90, 2.90, 14400
11/03/23, 2.90, 3.00, 2.90, 2.90, 20500
10/31/23, 3.20, 3.20, 3.19, 3.19, 300
10/27/23, 3.29, 3.29, 3.29, 3.29, 2300
10/26/23, 3.29, 3.29, 3.29, 3.29, 100
10/24/23, 3.49, 3.49, 3.30, 3.40, 200
10/23/23, 3.10, 3.50, 3.10, 3.30, 200
10/19/23, 3.10, 3.29, 3.10, 3.20, 200
10/18/23, 3.10, 3.10, 3.10, 3.10, 100
10/16/23, 3.00, 3.00, 3.00, 3.00, 100
10/12/23, 2.76, 3.00, 2.76, 2.90, 1000
10/11/23, 3.06, 3.70, 3.06, 3.06, 28800
10/04/23, 3.50, 3.50, 3.15, 3.38, 300
10/03/23, 3.50, 3.50, 3.50, 3.50, 600
09/27/23, 3.45, 3.45, 3.45, 3.45, 200
09/26/23, 3.50, 3.50, 3.50, 3.50, 100
09/22/23, 3.50, 3.50, 3.50, 3.50, 200
09/21/23, 3.80, 3.80, 3.50, 3.60, 1600
09/20/23, 3.53, 3.53, 3.53, 3.53, 2000
09/18/23, 3.80, 3.80, 3.80, 3.80, 400
09/14/23, 3.85, 3.85, 3.85, 3.85, 500
09/13/23, 3.85, 3.85, 3.85, 3.85, 600
09/12/23, 3.85, 3.85, 3.85, 3.85, 100
09/11/23, 3.85, 3.85, 3.85, 3.85, 300
09/08/23, 3.50, 3.50, 3.50, 3.50, 100
09/04/23, 3.22, 3.22, 3.22, 3.22, 2000
09/01/23, 3.22, 3.22, 3.22, 3.22, 800
08/31/23, 3.22, 3.22, 3.22, 3.22, 500
08/30/23, 3.22, 3.22, 3.00, 3.11, 400
08/28/23, 3.00, 3.00, 3.00, 3.00, 500
08/25/23, 3.00, 3.00, 2.92, 2.94, 5900
08/24/23, 3.00, 3.00, 3.00, 3.00, 400
08/23/23, 3.25, 3.52, 3.25, 3.27, 6800
