Date, Open, High, Low, Close, Volume
12/29/23, 35.95, 35.95, 35.80, 35.85, 300
12/27/23, 35.00, 35.50, 35.00, 35.20, 3200
12/22/23, 35.00, 35.50, 35.00, 35.10, 600
12/21/23, 36.00, 36.00, 34.00, 35.10, 4000
12/20/23, 34.00, 34.00, 33.00, 33.95, 16000
12/19/23, 35.05, 35.05, 34.00, 34.85, 20500
12/18/23, 40.00, 40.00, 36.00, 37.15, 1200
12/15/23, 41.00, 41.00, 38.00, 38.05, 55200
12/14/23, 41.25, 42.00, 38.00, 41.05, 8300
12/13/23, 41.50, 42.00, 41.30, 41.80, 11400
12/11/23, 41.90, 43.00, 41.30, 42.00, 16000
12/08/23, 41.00, 42.00, 41.00, 41.35, 60000
12/07/23, 39.00, 41.00, 39.00, 40.20, 116500
12/06/23, 38.70, 40.50, 38.60, 40.00, 33700
12/05/23, 37.00, 40.00, 36.00, 39.50, 54800
12/04/23, 35.05, 38.50, 35.00, 36.45, 42400
12/01/23, 35.00, 35.10, 35.00, 35.05, 3900
11/30/23, 35.00, 35.10, 35.00, 35.05, 5500
11/29/23, 35.00, 35.00, 35.00, 35.00, 208700
11/28/23, 34.80, 35.15, 34.00, 35.00, 13000
11/27/23, 33.50, 35.00, 33.50, 34.75, 48300
11/24/23, 34.00, 35.30, 34.00, 35.00, 1094200
11/23/23, 35.00, 35.30, 33.00, 34.95, 28000
11/22/23, 31.75, 33.00, 31.00, 32.10, 106100
11/21/23, 29.50, 31.75, 29.25, 30.95, 82100
11/20/23, 29.25, 31.75, 29.25, 29.55, 390500
11/17/23, 29.05, 29.05, 27.00, 28.90, 17900
11/16/23, 26.50, 26.50, 26.50, 26.50, 79000
11/15/23, 23.50, 25.00, 23.50, 24.10, 9700
11/09/23, 22.50, 22.50, 22.50, 22.50, 200
11/08/23, 22.50, 22.50, 22.50, 22.50, 800
11/07/23, 23.00, 23.00, 22.50, 22.95, 4900
11/06/23, 22.80, 22.80, 22.80, 22.80, 700
11/03/23, 22.90, 23.00, 22.90, 22.95, 2700
11/02/23, 23.50, 23.50, 23.50, 23.50, 400
10/31/23, 22.00, 23.50, 21.30, 22.90, 6700
10/30/23, 22.95, 23.50, 22.00, 23.35, 11400
10/27/23, 23.45, 23.45, 23.00, 23.10, 400
10/26/23, 22.70, 23.45, 22.70, 22.95, 5600
10/25/23, 23.00, 23.35, 21.50, 22.55, 16600
10/24/23, 23.00, 23.00, 23.00, 23.00, 8000
10/23/23, 23.55, 23.55, 22.95, 23.15, 4200
10/17/23, 23.00, 23.55, 23.00, 23.40, 400
10/16/23, 25.00, 25.00, 23.50, 23.55, 2500
10/13/23, 25.45, 25.45, 23.05, 23.90, 5200
10/12/23, 24.95, 24.95, 24.00, 24.55, 800
10/11/23, 23.00, 25.00, 23.00, 23.50, 2700
10/09/23, 23.00, 25.00, 23.00, 23.90, 1100
10/06/23, 23.90, 23.90, 22.50, 22.80, 1000
10/05/23, 25.00, 25.00, 24.00, 24.30, 9100
10/04/23, 24.00, 25.00, 24.00, 24.10, 6300
10/03/23, 25.00, 25.00, 25.00, 25.00, 2900
10/02/23, 25.50, 25.50, 25.50, 25.50, 500
09/29/23, 24.10, 25.00, 24.10, 24.50, 1300
09/28/23, 25.50, 25.50, 25.00, 25.10, 2200
09/27/23, 25.50, 25.50, 25.50, 25.50, 43400
09/26/23, 25.10, 26.50, 25.00, 25.50, 462900
09/25/23, 25.00, 26.75, 25.00, 25.50, 470700
09/22/23, 25.30, 26.10, 25.00, 25.10, 8300
09/21/23, 25.50, 26.00, 25.50, 25.50, 731200
09/20/23, 25.00, 26.00, 24.50, 25.30, 1700
09/19/23, 25.00, 25.95, 25.00, 25.00, 24800
09/18/23, 25.75, 25.80, 25.00, 25.05, 14200
09/15/23, 25.95, 25.95, 25.95, 25.95, 700
09/14/23, 25.90, 26.00, 25.90, 25.95, 600
09/13/23, 25.80, 25.80, 25.80, 25.80, 1500
09/12/23, 25.50, 26.50, 25.50, 25.70, 700
09/08/23, 24.00, 26.00, 24.00, 26.00, 885300
09/07/23, 25.50, 26.00, 25.00, 25.05, 20200
09/06/23, 25.00, 25.95, 25.00, 25.15, 1200
09/05/23, 25.95, 26.00, 25.95, 26.00, 700
