Date, Open, High, Low, Close, Volume
12/29/23, 35.00, 36.25, 35.00, 35.65, 400
12/28/23, 35.00, 35.00, 35.00, 35.00, 100
12/27/23, 35.00, 35.00, 35.00, 35.00, 200
12/22/23, 35.00, 35.00, 35.00, 35.00, 400
12/21/23, 35.00, 35.00, 35.00, 35.00, 100
12/20/23, 35.00, 35.00, 35.00, 35.00, 200
12/19/23, 35.00, 35.00, 35.00, 35.00, 100
12/18/23, 35.00, 35.00, 35.00, 35.00, 200
12/13/23, 35.00, 35.00, 35.00, 35.00, 100
12/07/23, 35.90, 35.90, 35.90, 35.90, 900
12/06/23, 35.90, 35.90, 35.90, 35.90, 2000
12/05/23, 36.00, 36.00, 36.00, 36.00, 700
12/04/23, 36.00, 36.00, 36.00, 36.00, 100
12/01/23, 36.00, 36.00, 36.00, 36.00, 100
11/29/23, 36.00, 36.00, 36.00, 36.00, 100
11/24/23, 36.00, 36.00, 36.00, 36.00, 1000
11/22/23, 36.50, 36.50, 36.50, 36.50, 400
11/21/23, 37.00, 37.00, 37.00, 37.00, 200
11/20/23, 37.00, 37.00, 37.00, 37.00, 200
11/17/23, 36.10, 38.00, 36.10, 36.80, 1000
11/16/23, 36.10, 36.10, 36.10, 36.10, 100
11/15/23, 36.00, 36.00, 36.00, 36.00, 100
11/14/23, 36.10, 36.10, 36.10, 36.10, 100
11/08/23, 36.10, 36.10, 36.10, 36.10, 100
11/02/23, 37.00, 37.00, 35.20, 36.10, 200
11/01/23, 35.10, 35.10, 35.10, 35.10, 300
10/31/23, 35.00, 35.00, 35.00, 35.00, 400
10/26/23, 35.50, 35.50, 35.50, 35.50, 4400
10/24/23, 37.00, 37.00, 35.00, 35.25, 1600
10/18/23, 36.50, 37.50, 36.50, 37.00, 200
10/17/23, 36.50, 36.50, 36.50, 36.50, 100
10/12/23, 35.00, 35.00, 34.10, 34.20, 800
10/11/23, 36.00, 36.00, 36.00, 36.00, 400
10/06/23, 36.75, 36.75, 36.50, 36.50, 2600
10/05/23, 36.50, 39.00, 36.50, 36.75, 1100
10/03/23, 39.00, 39.00, 36.50, 36.55, 6800
10/02/23, 39.00, 39.00, 39.00, 39.00, 1100
09/29/23, 35.65, 35.65, 35.65, 35.65, 200
09/28/23, 39.50, 39.50, 36.00, 38.00, 700
09/27/23, 39.50, 39.50, 39.50, 39.50, 400
09/26/23, 39.50, 39.60, 39.50, 39.50, 4600
09/25/23, 37.10, 37.10, 37.10, 37.10, 200
09/21/23, 39.50, 40.00, 39.50, 39.60, 1900
09/19/23, 39.50, 39.50, 39.50, 39.50, 100
09/18/23, 36.00, 36.00, 36.00, 36.00, 1900
09/14/23, 40.00, 40.00, 36.00, 36.80, 500
09/08/23, 40.00, 40.00, 40.00, 40.00, 100
09/07/23, 40.00, 40.00, 38.50, 38.55, 5300
09/06/23, 38.50, 38.50, 38.50, 38.50, 3700
09/05/23, 38.50, 38.50, 38.50, 38.50, 3500
09/04/23, 38.55, 38.55, 38.50, 38.50, 9400
08/31/23, 38.55, 38.55, 38.50, 38.55, 200
08/30/23, 38.55, 38.55, 38.55, 38.55, 300
08/29/23, 38.55, 38.55, 38.55, 38.55, 6500
08/25/23, 37.00, 39.00, 37.00, 38.50, 400
08/24/23, 41.00, 41.00, 41.00, 41.00, 100
08/23/23, 39.00, 40.00, 39.00, 39.75, 400
08/21/23, 40.50, 40.50, 39.00, 39.75, 200
08/17/23, 40.00, 42.00, 38.00, 39.70, 1900
08/16/23, 42.00, 42.00, 42.00, 42.00, 100
08/15/23, 40.00, 40.00, 40.00, 40.00, 500
08/14/23, 38.00, 38.00, 38.00, 38.00, 500
08/11/23, 42.00, 42.00, 42.00, 42.00, 100
08/10/23, 40.00, 40.00, 40.00, 40.00, 300
08/09/23, 40.00, 41.00, 40.00, 40.25, 400
08/08/23, 42.00, 42.00, 42.00, 42.00, 700
08/07/23, 40.00, 40.00, 40.00, 40.00, 500
08/04/23, 42.00, 42.00, 40.00, 41.00, 200
08/03/23, 42.00, 42.00, 41.30, 41.55, 300
08/01/23, 42.00, 42.00, 42.00, 42.00, 200
07/31/23, 42.00, 42.00, 42.00, 42.00, 100
