Date, Open, High, Low, Close, Volume
12/29/23, 114.00, 114.00, 114.00, 114.00, 1100
12/28/23, 115.00, 115.00, 113.00, 114.25, 1500
12/27/23, 114.00, 118.00, 114.00, 115.00, 1100
12/22/23, 114.00, 114.00, 114.00, 114.00, 1000
12/21/23, 108.50, 110.00, 108.00, 108.00, 305500
12/20/23, 109.00, 109.00, 108.50, 108.50, 76600
12/19/23, 110.00, 110.00, 108.00, 109.50, 17000
12/18/23, 112.00, 112.00, 109.00, 109.75, 7700
12/15/23, 112.00, 112.00, 110.00, 111.00, 10900
12/14/23, 112.00, 112.00, 111.25, 111.50, 21500
12/13/23, 112.00, 112.00, 111.50, 111.75, 17200
12/11/23, 111.75, 112.00, 111.50, 112.00, 7500
12/08/23, 111.75, 112.00, 111.00, 111.75, 12600
12/07/23, 112.25, 112.25, 111.25, 112.00, 264300
12/06/23, 112.00, 112.50, 112.00, 112.25, 13600
12/04/23, 113.00, 113.00, 111.25, 112.00, 14300
12/01/23, 114.00, 114.00, 113.00, 113.75, 5000
11/30/23, 113.25, 114.00, 112.25, 113.25, 4200
11/29/23, 112.25, 114.00, 112.00, 114.00, 141800
11/28/23, 114.00, 114.00, 112.25, 113.50, 19400
11/27/23, 114.00, 114.75, 114.00, 114.25, 10000
11/24/23, 114.75, 115.00, 114.00, 114.75, 6200
11/23/23, 114.25, 114.25, 113.50, 114.00, 606500
11/22/23, 117.00, 117.00, 114.00, 114.25, 9600
11/21/23, 115.00, 115.00, 114.75, 114.75, 41000
11/20/23, 115.00, 115.00, 113.00, 114.25, 7700
11/17/23, 113.00, 117.00, 111.00, 113.75, 7400
11/16/23, 117.50, 117.75, 111.00, 112.50, 93300
11/15/23, 119.00, 119.00, 117.00, 117.75, 37600
11/14/23, 119.00, 119.75, 114.25, 117.75, 1400
11/10/23, 118.50, 120.00, 115.00, 119.00, 4800
11/09/23, 125.00, 125.00, 114.00, 118.50, 2600
11/08/23, 122.75, 123.00, 121.00, 122.00, 1100
11/07/23, 120.00, 122.00, 115.00, 120.00, 2900
11/06/23, 126.00, 126.00, 120.00, 121.25, 20300
11/03/23, 126.00, 127.00, 126.00, 126.00, 1500
11/02/23, 126.00, 126.00, 120.50, 123.00, 145400
11/01/23, 127.00, 127.00, 126.25, 126.50, 1200
10/31/23, 128.00, 128.00, 126.00, 126.75, 1400
10/30/23, 128.00, 128.50, 126.25, 127.00, 10900
10/27/23, 132.00, 132.00, 127.00, 128.50, 16900
10/26/23, 133.00, 133.00, 131.50, 131.50, 7900
10/25/23, 134.00, 134.00, 132.00, 132.25, 600
10/24/23, 134.00, 134.00, 130.00, 131.50, 3300
10/23/23, 134.00, 134.00, 131.00, 131.75, 3300
10/19/23, 130.00, 135.00, 130.00, 132.25, 2600
10/18/23, 135.00, 135.00, 135.00, 135.00, 1700
10/17/23, 130.00, 130.00, 130.00, 130.00, 2300
10/16/23, 130.00, 130.00, 128.00, 129.25, 1100
10/13/23, 130.00, 130.00, 124.00, 126.00, 4400
10/12/23, 130.25, 130.25, 130.00, 130.00, 600
10/11/23, 131.00, 131.00, 120.00, 120.25, 283900
10/09/23, 132.00, 132.00, 126.00, 130.25, 800
10/06/23, 132.00, 132.00, 120.00, 124.00, 6800
10/05/23, 132.00, 132.00, 131.50, 131.75, 3900
10/04/23, 131.50, 132.00, 131.00, 131.50, 600
10/03/23, 132.00, 132.00, 120.00, 124.00, 8900
10/02/23, 132.00, 132.00, 131.00, 131.75, 2500
09/29/23, 131.00, 131.00, 131.00, 131.00, 1000
09/28/23, 130.00, 131.00, 129.00, 129.25, 1500
09/27/23, 130.00, 130.00, 125.50, 129.25, 7000
09/26/23, 131.00, 131.00, 130.00, 130.00, 31100
09/25/23, 133.25, 133.25, 130.00, 130.75, 1900
09/22/23, 133.00, 133.00, 130.00, 131.00, 1800
09/21/23, 132.00, 133.75, 131.00, 133.25, 11800
